name,url,domain,stars,price,cat,note,enabled
SENSE OF PLACE,https://senseofplace.tokyo/zh-TW/SenseOfPlace/ProductList?item1=01,senseofplace.tokyo,5,2,日系,,TRUE
RAGEBLUE,https://www.dot-st.tw/v2/official/SalePageCategory/475506?sortMode=Newest,dot-st.tw,5,3,日系,,TRUE
LAKOLE,https://www.dot-st.tw/v2/official/SalePageCategory/534017?sortMode=Newest,dot-st.tw,5,3,日系,,TRUE
Havehad Global,https://havehad-tw.com/,havehad-tw.com,5,3,台灣品牌,,TRUE
Life8,https://www.life8.com.tw/LIFE8,life8.com.tw,5,1,台灣品牌,,TRUE
dot st TW ADASTRIA,https://www.dot-st.tw/v2/official/SalePageCategory/445879?sortMode=Newest,dot-st.tw,5,3,日系,,TRUE
ame soeur,https://www.amesoeur.co/,amesoeur.co,5,2,台灣品牌,,TRUE
LABEL SHOP,https://shopee.tw/chuse.inc,shopee.tw,5,1,台灣品牌,,TRUE
CUBOX,https://www.cubox2008.com/,cubox2008.com,5,3,台灣品牌,,TRUE
DYCTEAM SELECT,https://www.dycteam-select.com/,dycteam-select.com,5,3,台灣品牌,,TRUE
B-SIDE Clothing,https://www.bside-taipei.com/,bside-taipei.com,5,3,台灣品牌,常秒殺,TRUE
Goofing-off,https://shopee.tw/stanley0107,shopee.tw,5,1,台灣品牌,,TRUE
CACO,https://www.caco.com.tw/home/tee,caco.com.tw,4,1,台灣品牌,,TRUE
ANST,https://www.anstw.com.tw/,anstw.com.tw,4,2,台灣品牌,,TRUE
plain-me,https://shopee.tw/plainme?page=0,shopee.tw,4,2,台灣品牌,,TRUE
OFFSET,https://www.offsetstudio.com.tw/,offsetstudio.com.tw,4,1,台灣品牌,,TRUE
nerd,https://www.nerdjp.co/categories/freaks-store,nerdjp.co,4,3,日系,,TRUE
FRANK'S,https://shopee.tw/franks888,shopee.tw,4,2,台灣品牌,,TRUE
Mars Co.,https://www.marsco.me/,marsco.me,4,1,台灣品牌,,TRUE
WHOSEWEAR,https://shopee.tw/whosewear,shopee.tw,4,1,台灣品牌,,TRUE
Undergarden,https://www.undergarden.co/,undergarden.co,4,3,台灣品牌,,TRUE
RPTN SHOP,https://rptn.reputationshop.com/,reputationshop.com,4,2,台灣品牌,,TRUE
SHTICK,https://www.shtickinc.com/Shop/,shtickinc.com,4,1,台灣品牌,,TRUE
URBAN RESEARCH,https://www.urban-research.tw/,urban-research.tw,4,3,日系,,TRUE
無印良品 MUJI,https://shop.muji.tw/page/Men,muji.tw,4,1,日系,,TRUE
ZARA Taiwan,https://www.zara.com/tw/,zara.com,4,2,歐美,,TRUE
UNIQLO,https://www.uniqlo.com/tw/zh_TW/men.html,uniqlo.com,4,1,日系,,TRUE
GU,https://www.gu-global.com/tw/zh_TW/,gu-global.com,4,1,日系,,TRUE
FUZY,https://www.fuzytw.com/,fuzytw.com,4,1,台灣品牌,,TRUE
金JINEASTERNAU,https://jin2023.net/,jin2023.net,4,2,台灣品牌,,TRUE
JUMP COLORS,https://www.jumpcolors.com/,jumpcolors.com,4,1,台灣品牌,,TRUE
G Select,https://www.gselect.co/,gselect.co,4,2,台灣品牌,,TRUE
3POINTER,https://www.3pointertw.com/,3pointertw.com,4,3,台灣品牌,,TRUE
Need How,https://www.needhowtw.com/,needhowtw.com,3,2,台灣品牌,,TRUE
NIHOW | N.CORE,https://www.nihow.tw/,nihow.tw,3,3,韓系,,TRUE
KAI KAI,https://www.kaikai.com.tw/,kaikai.com.tw,3,3,台灣品牌,,TRUE
Noir,https://www.noir.com.tw/,noir.com.tw,3,1,台灣品牌,,TRUE
UNITED ARROWS,https://store.united-arrows.tw/,united-arrows.tw,3,2,日系,,TRUE
Carhartt WIP,https://www.carhartt-wip.com.tw/,carhartt-wip.com.tw,3,3,歐美,,TRUE
CREALIVE DEPT.,https://www.crealivedept.com/,crealivedept.com,3,3,台灣品牌,,TRUE
Persevere,https://www.persevere1905.com/,persevere1905.com,3,2,台灣品牌,,TRUE
Cahlumn,https://www.ddswshop.co/categories/cahlumn,ddswshop.co,3,3,台灣品牌,,TRUE
GLOBAL WORK,https://www.dot-st.tw/v2/official/SalePageCategory/218807?sortMode=Newest,dot-st.tw,3,3,日系,,TRUE
NERD SELECT STORE,https://www.nerdjp.co/,nerdjp.co,3,3,日系,,TRUE
PIN SKTBS,https://www.3pointertw.com/categories/pin-sktbs,3pointertw.com,3,1,台灣品牌,,TRUE
UNO STORE,https://www.uno.com.tw/Shop/,uno.com.tw,3,1,台灣品牌,,TRUE
H&M,https://www2.hm.com/zh_asia3/index.html,hm.com,3,2,歐美,,TRUE
METAL MOB,https://shopee.tw/metal_mob.co,shopee.tw,3,2,台灣品牌,,TRUE
H.Y Select Store,https://www.hystore.com.tw/,hystore.com.tw,3,1,台灣品牌,,TRUE
VIP SHOPPING,https://www.vip-shopping.com.tw/collect?p=7,vip-shopping.com.tw,3,1,台灣品牌,,TRUE
NoGF,https://www.nogf.com.tw/,nogf.com.tw,3,1,台灣品牌,,TRUE
LAKING,https://www.laking.com.tw/,laking.com.tw,3,2,台灣品牌,,TRUE
MANIACREW,https://shop.nextmobriot.com/v2/official/SalePageCategory/277665?sortMode=Newest,nextmobriot.com,3,3,台灣品牌,,TRUE
Umai Clothing,https://umaiclothing.com/,umaiclothing.com,3,2,歐美,,TRUE
50% FIFTY PERCENT,https://www.50-shop.com/Shop/itemList.aspx?m=5&p=13,50-shop.com,3,1,台灣品牌,,TRUE
WODEN,https://shopee.tw/wodenchie,shopee.tw,3,1,台灣品牌,,TRUE
UNDER PEACE,https://www.underpeaceshop.com/,underpeaceshop.com,3,2,台灣品牌,,TRUE
unknowndomaintw,https://www.unknowndomaintw.com/,unknowndomaintw.com,3,3,台灣品牌,,TRUE
WTFUNK,https://www.wtfunk.com.tw/,wtfunk.com.tw,3,1,台灣品牌,,TRUE
coen | UNITED ARROWS,https://store.united-arrows.tw/coen/,united-arrows.tw,3,2,日系,,TRUE
Spfloe,https://www.spfloe.com/,spfloe.com,2,3,台灣品牌,,TRUE
Jeep (momo),https://www.momoshop.com.tw/category/LgrpCategory.jsp?ctype=B&l_code=2116300000,momoshop.com.tw,2,3,歐美,,TRUE
BEAMS,https://www.beams.tw/,beams.tw,2,3,日系,,TRUE
CHUSE,https://www.chusedesign.com/,chusedesign.com,2,2,台灣品牌,,TRUE
GOOPi.co,https://www.goopi.co/,goopi.co,2,3,台灣品牌,,TRUE
CFT SOUL,https://www.cft-soul.com/,cft-soul.com,2,2,台灣品牌,,TRUE
K S i M,https://www.ksimpletw.com/,ksimpletw.com,2,2,台灣品牌,,TRUE
QUEEN SHOP,https://www.queenshop.com.tw/zh-TW/QueenShop/ProductList?item1=01&item2=pop,queenshop.com.tw,2,2,台灣品牌,,TRUE
Simon Select Shop,https://shopee.tw/simonshopgj?page=0,shopee.tw,2,1,台灣品牌,,TRUE
ZALORA 台灣,https://www.zalora.com.tw/c/men/clothing/c-4218,zalora.com.tw,2,2,歐美,,TRUE
傑雷諾,https://jerleno.com/collections/%E6%89%80%E6%9C%89%E5%95%86%E5%93%81,jerleno.com,2,1,台灣品牌,,TRUE
Chingkoo,https://www.chingkoo.co/,chingkoo.co,2,1,台灣品牌,,TRUE
ESC SELECT SHOP,https://www.esctw.com/,esctw.com,2,1,台灣品牌,,TRUE
KUGA STORE,https://www.kuga.store/,kuga.store,2,1,台灣品牌,,TRUE
COVERNAT,https://shopee.tw/covernat.tw?page=0,shopee.tw,2,1,韓系,,TRUE
ddswshop 品牌選貨,https://www.ddswshop.co/,ddswshop.co,2,2,台灣品牌,,TRUE
LEVI'S,https://www.levis.com.tw/,levis.com.tw,2,3,歐美,,TRUE
WTH.Co,https://shopee.tw/nextmade.studio,shopee.tw,2,1,台灣品牌,,TRUE
ENRICH DESIGN,https://www.enrich-design.co/,enrich-design.co,2,3,台灣品牌,,TRUE
WEAVISM 織本主義,https://www.weavism.com/,weavism.com,1,2,台灣品牌,,TRUE
GAP,https://www.gap.tw/plp/19082100002461.html,gap.tw,1,1,歐美,,TRUE
JKS Shop,https://www.jksshop.co/,jksshop.co,1,1,台灣品牌,,TRUE
K-2 Fashionboy,https://www.k-2fashionboy.com/,k-2fashionboy.com,1,1,台灣品牌,,TRUE
SHEIN,https://www.shein.tw/men,shein.tw,1,1,歐美,,TRUE
One-Shot,https://www.oneshotclothing.co/,oneshotclothing.co,1,1,台灣品牌,,TRUE
lativ 米格國際,https://www.lativ.com.tw/MEN,lativ.com.tw,1,1,台灣品牌,,TRUE
future-store,https://www.future-store.com.tw/,future-store.com.tw,1,1,台灣品牌,,TRUE
EMPEROR.TW,https://www.emperor.tw/,emperor.tw,1,1,台灣品牌,,TRUE
小二布屋,https://www.boy2shop.com/V2/Official/SalePageCategory/381684?sortMode=Curator,boy2shop.com,1,1,台灣品牌,,TRUE
UNLIMITED,https://www.unlimited-tw.com/,unlimited-tw.com,1,1,台灣品牌,,TRUE
Bershka（實體店）,https://www.bershka.com/tw/h-man.html,bershka.com,1,1,歐美,,TRUE
